gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season
22300168,2023-11-08,regular,1610612761,TOR,DAL,TOR,48.0,127.0,49.0,99.0,49.5,11.0,36.0,30.6,18.0,27.0,66.7,15.0,35.0,50.0,27.0,12.0,10.0,4.0,25.0,11.0,1.0,2024
22300169,2023-11-08,regular,1610612743,DEN,DEN,GSW,48.0,108.0,41.0,92.0,44.6,11.0,35.0,31.4,15.0,22.0,68.2,10.0,35.0,45.0,24.0,6.0,7.0,4.0,20.0,3.0,1.0,2024
22300169,2023-11-08,regular,1610612744,GSW,DEN,GSW,48.0,105.0,37.0,86.0,43.0,11.0,35.0,31.4,20.0,26.0,76.9,11.0,38.0,49.0,21.0,9.0,5.0,0.0,20.0,-3.0,0.0,2024
22300170,2023-11-08,regular,1610612757,POR,SAC,POR,53.0,118.0,44.0,87.0,50.6,8.0,22.0,36.4,22.0,29.0,75.9,7.0,29.0,36.0,26.0,18.0,10.0,5.0,29.0,-3.0,0.0,2024
22300170,2023-11-08,regular,1610612758,SAC,SAC,POR,53.0,121.0,41.0,89.0,46.1,11.0,37.0,29.7,28.0,38.0,73.7,15.0,35.0,50.0,32.0,21.0,11.0,6.0,24.0,3.0,1.0,2024
22300171,2023-11-09,regular,1610612754,IND,IND,MIL,48.0,126.0,44.0,92.0,47.8,20.0,48.0,41.7,18.0,20.0,90.0,9.0,31.0,40.0,27.0,13.0,6.0,6.0,25.0,2.0,1.0,2024
22300171,2023-11-09,regular,1610612749,MIL,IND,MIL,48.0,124.0,46.0,87.0,52.9,9.0,27.0,33.3,23.0,26.0,88.5,5.0,36.0,41.0,23.0,14.0,6.0,5.0,19.0,-2.0,0.0,2024
22300172,2023-11-09,regular,1610612737,ATL,ORL,ATL,48.0,120.0,41.0,85.0,48.2,15.0,39.0,38.5,23.0,30.0,76.7,8.0,28.0,36.0,22.0,18.0,13.0,7.0,25.0,1.0,1.0,2024
22300172,2023-11-09,regular,1610612753,ORL,ORL,ATL,48.0,119.0,42.0,90.0,46.7,10.0,27.0,37.0,25.0,35.0,71.4,18.0,29.0,47.0,19.0,19.0,12.0,6.0,24.0,-1.0,0.0,2024
22300008,2023-11-10,regular,1610612765,DET,DET,PHI,48.0,106.0,40.0,86.0,46.5,8.0,28.0,28.6,18.0,22.0,81.8,11.0,37.0,48.0,28.0,17.0,3.0,5.0,26.0,-8.0,0.0,2024
