gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season,home_game,normalized_pts,win_encoded
22300124,2023-11-01,regular,1610612742,DAL,DAL,CHI,48.0,114.0,37.0,81.0,0.4567901234567901,20.0,48.0,0.4166666666666667,20.0,28.0,0.7142857142857143,13.0,32.0,45.0,23.0,15.0,7.0,2.0,11.0,9.0,1.0,2024,1,-0.27000422358091564,1
22300125,2023-11-01,regular,1610612763,MEM,UTA,MEM,48.0,109.0,35.0,96.0,0.3645833333333333,14.0,54.0,0.25925925925925924,25.0,32.0,0.78125,14.0,28.0,42.0,25.0,16.0,12.0,7.0,22.0,-24.0,0.0,2024,0,0.32257724338856614,0
22300125,2023-11-01,regular,1610612762,UTA,UTA,MEM,48.0,133.0,47.0,87.0,0.5402298850574713,22.0,43.0,0.5116279069767442,17.0,24.0,0.7083333333333334,10.0,40.0,50.0,35.0,21.0,7.0,3.0,22.0,24.0,1.0,2024,1,1.3571867911173625,1
22300126,2023-11-01,regular,1610612744,GSW,GSW,SAC,48.0,102.0,39.0,81.0,0.48148148148148145,11.0,31.0,0.3548387096774194,13.0,15.0,0.8666666666666667,7.0,29.0,36.0,32.0,18.0,5.0,6.0,17.0,1.0,1.0,2024,1,-1.296726631008182,1
22300126,2023-11-01,regular,1610612758,SAC,GSW,SAC,48.0,101.0,36.0,88.0,0.4090909090909091,11.0,35.0,0.3142857142857143,18.0,23.0,0.782608695652174,14.0,34.0,48.0,24.0,15.0,8.0,4.0,17.0,-1.0,0.0,2024,0,-1.1899914146802804,0
22300127,2023-11-01,regular,1610612746,LAC,LAL,LAC,53.0,125.0,47.0,99.0,0.47474747474747475,14.0,34.0,0.4117647058823529,17.0,27.0,0.6296296296296297,12.0,34.0,46.0,22.0,13.0,12.0,1.0,31.0,-5.0,0.0,2024,0,0.724296884876736,0
22300127,2023-11-01,regular,1610612747,LAL,LAL,LAC,53.0,130.0,46.0,90.0,0.5111111111111111,11.0,32.0,0.34375,27.0,36.0,0.75,9.0,42.0,51.0,28.0,14.0,10.0,9.0,24.0,5.0,1.0,2024,1,0.9728169588457568,1
22300128,2023-11-02,regular,1610612755,PHI,PHI,TOR,48.0,114.0,42.0,92.0,0.45652173913043476,9.0,25.0,0.36,21.0,25.0,0.84,15.0,31.0,46.0,21.0,14.0,12.0,3.0,19.0,15.0,1.0,2024,1,-0.03487248712781667,1
22300128,2023-11-02,regular,1610612761,TOR,PHI,TOR,48.0,99.0,38.0,79.0,0.4810126582278481,10.0,28.0,0.35714285714285715,13.0,19.0,0.6842105263157895,9.0,32.0,41.0,30.0,19.0,4.0,3.0,20.0,-15.0,0.0,2024,0,-1.0521033959472097,0
22300129,2023-11-02,regular,1610612765,DET,NOP,DET,48.0,116.0,41.0,94.0,0.43617021276595747,13.0,38.0,0.34210526315789475,21.0,26.0,0.8076923076923077,19.0,29.0,48.0,30.0,16.0,4.0,5.0,31.0,-9.0,0.0,2024,0,0.5652063410648858,0
22300129,2023-11-02,regular,1610612740,NOP,NOP,DET,48.0,125.0,39.0,80.0,0.4875,14.0,32.0,0.4375,33.0,35.0,0.9428571428571428,7.0,29.0,36.0,27.0,12.0,5.0,7.0,18.0,9.0,1.0,2024,1,0.7624490205013561,1
22300130,2023-11-02,regular,1610612753,ORL,UTA,ORL,48.0,115.0,39.0,85.0,0.4588235294117647,10.0,29.0,0.3448275862068966,27.0,36.0,0.75,10.0,33.0,43.0,27.0,17.0,17.0,9.0,25.0,2.0,1.0,2024,0,0.4050971153374381,1
22300130,2023-11-02,regular,1610612762,UTA,UTA,ORL,48.0,113.0,41.0,89.0,0.4606741573033708,12.0,33.0,0.36363636363636365,19.0,26.0,0.7307692307692307,13.0,35.0,48.0,27.0,20.0,9.0,7.0,27.0,-2.0,0.0,2024,1,-0.2080637977943634,0
22300131,2023-11-02,regular,1610612756,PHX,PHX,SAS,48.0,121.0,43.0,80.0,0.5375,16.0,32.0,0.5,19.0,26.0,0.7307692307692307,5.0,29.0,34.0,26.0,14.0,5.0,4.0,15.0,-11.0,0.0,2024,1,0.44972829361673206,0
22300131,2023-11-02,regular,1610612759,SAS,PHX,SAS,48.0,132.0,51.0,98.0,0.5204081632653061,18.0,37.0,0.4864864864864865,12.0,13.0,0.9230769230769231,9.0,32.0,41.0,37.0,8.0,7.0,5.0,21.0,11.0,1.0,2024,0,1.6383487869932938,1
22300001,2023-11-03,regular,1610612739,CLE,IND,CLE,48.0,116.0,44.0,84.0,0.5238095238095238,8.0,28.0,0.2857142857142857,20.0,25.0,0.8,5.0,30.0,35.0,27.0,13.0,10.0,9.0,20.0,-5.0,0.0,2024,0,0.30870708417373194,0
22300001,2023-11-03,regular,1610612754,IND,IND,CLE,48.0,121.0,45.0,86.0,0.5232558139534884,15.0,31.0,0.4838709677419355,16.0,24.0,0.6666666666666666,7.0,33.0,40.0,28.0,19.0,7.0,5.0,18.0,5.0,1.0,2024,1,-0.16855029076509678,1
